d1,type,d2
DB00446,0,DB00176
DB13952,0,DB00227
DB01075,0,DB01228
DB00276,0,DB01242
DB00257,0,DB01628
DB00199,0,DB01196
DB00245,0,DB00502
DB00543,0,DB00501
DB01118,0,DB00332
DB00343,0,DB04871
DB01274,0,DB00458
DB00195,0,DB01175
DB00215,0,DB00343
DB00343,0,DB00458
DB00257,0,DB08868
DB00608,0,DB00317
DB00254,0,DB13954
DB06292,0,DB00544
DB01211,0,DB00643
DB06413,0,DB00829
DB01101,0,DB00471
DB04920,0,DB00363
DB00921,0,DB01101
DB01029,0,DB00814
DB00245,0,DB00446
DB01211,0,DB08906
DB13874,0,DB09119
DB05219,0,DB00757
DB01628,0,DB01241
DB05812,0,DB00471
DB00907,0,DB01159
DB00934,0,DB00264
DB01435,0,DB00322
DB00227,0,DB00688
DB01418,0,DB00201
DB08907,0,DB00091
DB06777,0,DB00270
DB00091,0,DB00496
DB00169,0,DB14011
DB00477,0,DB00934
DB00907,0,DB08918
DB00316,0,DB00281
DB00472,0,DB00499
DB06738,0,DB00227
DB00490,0,DB00343
DB00379,0,DB00788
DB00402,0,DB09198
DB00568,0,DB00322
DB00672,0,DB01171
DB00289,0,DB11817
DB01029,0,DB09048
DB01558,0,DB00091
DB01435,0,DB00501
DB00343,0,DB01039
DB00496,0,DB00933
DB12483,0,DB04855
DB00773,0,DB09198
DB05039,0,DB00227
DB00257,0,DB06700
DB00322,0,DB04841
DB01211,0,DB00153
DB00918,0,DB00951
DB00320,0,DB01227
DB13952,0,DB00622
DB01559,0,DB00091
DB00188,0,DB05039
DB00199,0,DB14011
DB01006,0,DB00227
DB01097,0,DB00678
DB00608,0,DB00622
DB00546,0,DB01241
DB00320,0,DB00836
DB01151,0,DB00655
DB01175,0,DB00736
DB00188,0,DB06700
DB00328,0,DB00745
DB01118,0,DB01200
DB01244,0,DB00951
DB01075,0,DB00590
DB00802,0,DB00091
DB00590,0,DB00333
DB06725,0,DB00622
DB05676,0,DB00227
DB00320,0,DB09078
DB00918,0,DB00091
DB01118,0,DB00983
DB05351,0,DB01241
DB00254,0,DB06595
DB06595,0,DB00370
DB00201,0,DB00477
DB00758,0,DB04855
DB00544,0,DB11560
DB09061,0,DB00343
DB00477,0,DB00622
DB01118,0,DB00257
DB00758,0,DB00619
DB06403,0,DB01149
DB06203,0,DB04871
DB00921,0,DB00091
DB00169,0,DB13955
DB00343,0,DB08893
DB12267,0,DB00257
DB00091,0,DB01127
DB00476,0,DB00502
DB01242,0,DB01576
DB08865,0,DB01466
DB09167,0,DB00772
DB00446,0,DB00988
DB01242,0,DB09167
DB00188,0,DB00502
DB00188,0,DB00575
DB00751,0,DB00270
DB00254,0,DB00741
DB01136,0,DB00502
DB00758,0,DB00655
DB01558,0,DB00951
DB00619,0,DB13074
DB00455,0,DB00622
DB00176,0,DB00983
DB00889,0,DB00622
DB00476,0,DB00332
DB05812,0,DB00283
DB00276,0,DB01075
DB00568,0,DB00907
DB01142,0,DB00619
DB01380,0,DB04855
DB00477,0,DB00805
DB01218,0,DB01029
DB00608,0,DB00843
DB00518,0,DB01211
DB00546,0,DB01171
DB06403,0,DB00289
DB01221,0,DB06595
DB06203,0,DB01075
DB00257,0,DB04835
DB00783,0,DB00227
DB05812,0,DB00254
DB00951,0,DB00422
DB00865,0,DB00254
DB01071,0,DB00622
DB00724,0,DB00270
DB00672,0,DB00091
DB00363,0,DB00924
DB01242,0,DB00332
DB00215,0,DB04840
DB00829,0,DB00343
DB00446,0,DB13952
DB09167,0,DB11737
DB00496,0,DB01628
DB00176,0,DB00933
DB01628,0,DB01403
DB00343,0,DB00499
DB00320,0,DB00990
DB00678,0,DB06595
DB01114,0,DB01012
DB00608,0,DB01167
DB00604,0,DB00379
DB00472,0,DB01149
DB00091,0,DB08893
DB00477,0,DB04871
DB00254,0,DB05381
DB00215,0,DB00978
DB00343,0,DB00889
DB05351,0,DB00176
DB00091,0,DB09555
DB00990,0,DB01149
DB01241,0,DB01259
DB00276,0,DB01026
DB00997,0,DB04841
DB00176,0,DB01283
DB00608,0,DB00731
DB00608,0,DB00589
DB09167,0,DB00458
DB01435,0,DB09198
DB00674,0,DB00227
DB00501,0,DB01218
DB09167,0,DB13955
DB00297,0,DB00227
DB06700,0,DB04855
DB00176,0,DB01577
DB00257,0,DB00324
DB00257,0,DB01071
DB00207,0,DB00998
DB09166,0,DB01171
DB00276,0,DB00195
DB13874,0,DB00544
DB06626,0,DB00736
DB01191,0,DB01403
DB00195,0,DB09048
DB00924,0,DB00264
DB00969,0,DB08865
DB01026,0,DB11828
DB00829,0,DB01259
DB01136,0,DB01403
DB00289,0,DB00593
DB00472,0,DB01296
DB00201,0,DB00343
DB00748,0,DB01151
DB00188,0,DB00683
DB05812,0,DB01167
DB00470,0,DB01171
DB00169,0,DB00788
DB00195,0,DB04920
DB01429,0,DB00907
DB00321,0,DB00502
DB00568,0,DB01095
DB11817,0,DB00091
DB01012,0,DB00216
DB00608,0,DB00924
DB13874,0,DB00199
DB00091,0,DB01175
DB00289,0,DB00281
DB01118,0,DB00836
DB00254,0,DB01216
DB00586,0,DB09198
DB00297,0,DB09039
DB01244,0,DB00215
DB06701,0,DB08893
DB01544,0,DB00270
DB09123,0,DB00619
DB01167,0,DB09078
DB00289,0,DB01023
DB00472,0,DB06595
DB00289,0,DB00295
DB00169,0,DB01029
DB00332,0,DB01403
DB00343,0,DB01067
DB00245,0,DB09039
DB00176,0,DB00455
DB00201,0,DB01142
DB00199,0,DB00783
DB00283,0,DB00647
DB00091,0,DB01067
DB00215,0,DB00530
DB00270,0,DB04871
DB01195,0,DB00951
DB05351,0,DB00270
DB00636,0,DB04855
DB00951,0,DB01233
DB01355,0,DB00281
DB01228,0,DB08893
DB12267,0,DB08865
DB01211,0,DB01559
DB04574,0,DB01149
DB01159,0,DB04871
DB00983,0,DB00227
DB04920,0,DB06595
DB00332,0,DB00227
DB01254,0,DB09167
DB00266,0,DB06595
DB13956,0,DB01023
DB00283,0,DB01234
DB01075,0,DB13874
DB00647,0,DB00270
DB00544,0,DB01221
DB01118,0,DB04574
DB00307,0,DB08865
DB01156,0,DB00091
DB00245,0,DB09167
DB00772,0,DB06595
DB00758,0,DB00772
DB04871,0,DB00731
DB01177,0,DB01026
DB00289,0,DB11737
DB00346,0,DB00199
DB05219,0,DB06738
DB00320,0,DB01020
DB01197,0,DB00333
DB00289,0,DB12010
DB00866,0,DB00501
DB00472,0,DB01218
DB00343,0,DB00808
DB00283,0,DB05381
DB01418,0,DB01149
DB00201,0,DB00898
DB00215,0,DB04920
DB00907,0,DB00619
DB00835,0,DB00608
DB00316,0,DB01156
DB01223,0,DB00289
DB00748,0,DB01259
DB00997,0,DB00762
DB06738,0,DB01097
DB01151,0,DB00343
DB09167,0,DB13954
DB01259,0,DB00745
DB00091,0,DB08932
DB03756,0,DB00622
DB00482,0,DB13874
DB00283,0,DB00916
DB00289,0,DB01248
DB03756,0,DB09198
DB00257,0,DB11633
DB00289,0,DB01215
DB00455,0,DB06595
DB00835,0,DB06595
DB00289,0,DB01068
DB09061,0,DB01026
DB00918,0,DB00608
DB01029,0,DB01259
DB00458,0,DB00589
DB00531,0,DB00736
DB00672,0,DB00227
DB00381,0,DB00199
DB01223,0,DB00270
DB00185,0,DB08865
DB00748,0,DB01095
DB00254,0,DB01110
DB00188,0,DB00947
DB01156,0,DB01107
DB00320,0,DB00655
DB05812,0,DB05246
DB09167,0,DB01016
DB00283,0,DB01628
DB05219,0,DB00619
DB01211,0,DB00176
DB01628,0,DB00678
DB00257,0,DB01240
DB08865,0,DB01020
DB00501,0,DB09555
DB00835,0,DB00678
DB01156,0,DB00496
DB05676,0,DB01149
DB00091,0,DB11828
DB00477,0,DB00327
DB00758,0,DB01151
DB09167,0,DB06148
DB00201,0,DB00379
DB04846,0,DB00227
DB04946,0,DB09198
DB00215,0,DB00623
DB00169,0,DB01228
DB01118,0,DB00402
DB00327,0,DB00333
DB00568,0,DB00283
DB06403,0,DB09119
DB06605,0,DB01095
DB01211,0,DB13952
DB01191,0,DB00281
DB01118,0,DB11817
DB09167,0,DB01009
DB04855,0,DB00180
DB00270,0,DB00448
DB01242,0,DB01628
DB00188,0,DB00590
DB01403,0,DB00379
DB00328,0,DB00227
DB00496,0,DB01175
DB00182,0,DB00501
DB00472,0,DB00934
DB00917,0,DB06595
DB00518,0,DB00176
DB00176,0,DB01018
DB00869,0,DB09198
DB00091,0,DB08906
DB03128,0,DB00458
DB00927,0,DB09198
DB00490,0,DB00283
DB00320,0,DB00153
DB05351,0,DB00320
DB08865,0,DB13956
DB00207,0,DB00934
DB00283,0,DB01466
DB05812,0,DB09166
DB06210,0,DB01023
DB00773,0,DB00951
DB01244,0,DB00176
DB08932,0,DB01171
DB00921,0,DB00951
DB01429,0,DB08893
DB04855,0,DB00602
DB06736,0,DB01101
DB06016,0,DB00951
DB00188,0,DB00829
DB04840,0,DB01026
DB01029,0,DB01171
DB01075,0,DB01026
DB00091,0,DB00889
DB00604,0,DB01171
DB00176,0,DB05039
DB00628,0,DB08865
DB04855,0,DB00402
DB00845,0,DB01026
DB01012,0,DB00091
DB00757,0,DB01149
DB01101,0,DB00514
DB01142,0,DB00544
DB01357,0,DB06595
DB00283,0,DB00643
DB00169,0,DB00619
DB00343,0,DB00593
DB00613,0,DB01136
DB00672,0,DB01026
DB00575,0,DB00951
DB00328,0,DB09198
DB00195,0,DB00295
DB00972,0,DB00207
DB00257,0,DB00851
DB01435,0,DB06413
DB00501,0,DB00496
DB01156,0,DB00678
DB00195,0,DB01095
DB00215,0,DB00091
DB00343,0,DB00280
DB01095,0,DB00788
DB01118,0,DB01559
DB00201,0,DB06210
DB06736,0,DB01095
DB00257,0,DB00757
DB00283,0,DB00333
DB00501,0,DB00589
DB00091,0,DB00402
DB00472,0,DB00849
DB00283,0,DB00281
DB00322,0,DB01016
DB00608,0,DB06595
DB00356,0,DB09198
DB00289,0,DB00623
DB00381,0,DB00343
DB01151,0,DB00619
DB00182,0,DB01403
DB01068,0,DB00320
DB00835,0,DB00091
DB00182,0,DB00482
DB00215,0,DB13956
DB00343,0,DB09166
DB00283,0,DB08906
DB00283,0,DB01242
DB00257,0,DB01357
DB00091,0,DB12161
DB00619,0,DB00951
DB00343,0,DB01355
DB00918,0,DB00176
DB01435,0,DB09167
DB00283,0,DB00270
DB00741,0,DB01026
DB00518,0,DB04855
DB01142,0,DB00622
DB00199,0,DB00916
DB00169,0,DB05351
DB13956,0,DB01149
DB08865,0,DB06789
DB01403,0,DB00622
DB01393,0,DB00188
DB00448,0,DB00622
DB01026,0,DB06595
DB00257,0,DB01009
DB01118,0,DB13954
DB00283,0,DB01355
DB06413,0,DB01283
DB01075,0,DB01233
DB00619,0,DB00332
DB14011,0,DB01149
DB00195,0,DB00514
DB00240,0,DB00091
DB00320,0,DB04845
DB00477,0,DB06595
DB00619,0,DB00367
DB01029,0,DB00295
DB00918,0,DB06595
DB09555,0,DB00227
DB09167,0,DB08868
DB00363,0,DB00745
DB01118,0,DB00136
DB01435,0,DB08893
DB13952,0,DB00270
DB00619,0,DB00370
DB00343,0,DB01196
DB00188,0,DB01016
DB00477,0,DB13874
DB00321,0,DB00446
DB01211,0,DB01028
DB00402,0,DB00678
DB00949,0,DB01026
DB01097,0,DB00784
DB04846,0,DB00176
DB00544,0,DB00472
DB09167,0,DB00749
DB04855,0,DB01196
DB00343,0,DB01018
DB00757,0,DB00270
DB01151,0,DB01107
DB01107,0,DB00622
DB00949,0,DB01149
DB00969,0,DB00207
DB06016,0,DB08893
DB00316,0,DB00476
DB00257,0,DB00328
DB01628,0,DB04871
DB09026,0,DB00320
DB00482,0,DB01233
DB01097,0,DB00379
DB00343,0,DB00736
DB06626,0,DB00472
DB00546,0,DB00199
DB00758,0,DB04871
DB00188,0,DB00751
DB00866,0,DB00907
DB00201,0,DB00283
DB04855,0,DB06789
DB00690,0,DB00270
DB00736,0,DB00371
DB00623,0,DB04871
DB01211,0,DB00180
DB00496,0,DB00889
DB00281,0,DB00772
DB00176,0,DB00889
DB00501,0,DB13953
DB00757,0,DB00227
DB09167,0,DB08893
DB00227,0,DB08893
DB00176,0,DB00814
DB08865,0,DB00959
DB01018,0,DB00227
DB01259,0,DB08918
DB01177,0,DB00458
DB00866,0,DB00363
DB00176,0,DB01107
DB01403,0,DB06148
DB00169,0,DB00327
DB13874,0,DB00458
DB00395,0,DB00736
DB06203,0,DB00363
DB00402,0,DB00622
DB00169,0,DB01095
DB06736,0,DB00622
DB00283,0,DB00451
DB04855,0,DB01002
DB00227,0,DB08932
DB00472,0,DB01029
DB00476,0,DB00317
DB00482,0,DB01149
DB01156,0,DB00530
DB01242,0,DB01167
DB00544,0,DB01065
DB00477,0,DB00590
DB06203,0,DB00608
DB06203,0,DB01026
DB00215,0,DB00544
DB00188,0,DB00482
DB00829,0,DB00619
DB00988,0,DB00322
DB00276,0,DB01403
DB01211,0,DB00514
DB03756,0,DB09167
DB06413,0,DB14011
DB00289,0,DB00307
DB06413,0,DB00328
DB00829,0,DB09167
DB00320,0,DB00402
DB00169,0,DB01050
DB00321,0,DB08893
DB00215,0,DB13955
DB01628,0,DB00458
DB11817,0,DB01167
DB00327,0,DB09198
DB00320,0,DB06702
DB00997,0,DB01544
DB04855,0,DB00783
DB12010,0,DB00619
DB00343,0,DB00678
DB00289,0,DB00934
DB01151,0,DB00772
DB01097,0,DB11560
DB13954,0,DB00379
DB00320,0,DB00843
DB08865,0,DB01227
DB00289,0,DB00762
DB00575,0,DB00502
DB00199,0,DB06148
DB01418,0,DB09119
DB09039,0,DB00731
DB00257,0,DB00643
DB01012,0,DB00320
DB00521,0,DB00169
DB00458,0,DB00227
DB13954,0,DB00951
DB00346,0,DB08865
DB00257,0,DB09555
DB00637,0,DB00333
DB01095,0,DB00327
DB00307,0,DB09198
DB00736,0,DB01544
DB00402,0,DB01241
DB00289,0,DB00736
DB01259,0,DB00836
DB01101,0,DB00448
DB00343,0,DB13954
DB06595,0,DB00471
DB00918,0,DB00270
DB00531,0,DB00199
DB00201,0,DB01026
DB00363,0,DB00983
DB00496,0,DB00455
DB01407,0,DB00379
DB00215,0,DB01050
DB05676,0,DB00176
DB06203,0,DB00333
DB05812,0,DB01559
DB08893,0,DB00731
DB00188,0,DB00153
DB00482,0,DB00598
DB00257,0,DB01587
DB00185,0,DB00091
DB13952,0,DB00678
DB13956,0,DB01029
DB00254,0,DB06789
DB00395,0,DB01026
DB00501,0,DB01228
DB00546,0,DB00472
DB06413,0,DB00590
DB00907,0,DB00514
DB00969,0,DB00169
DB00501,0,DB01195
DB00514,0,DB00622
DB00402,0,DB00544
DB00289,0,DB00783
DB00496,0,DB00370
DB00918,0,DB00264
DB00969,0,DB04855
DB06413,0,DB01259
DB00188,0,DB00262
DB01114,0,DB00333
DB00590,0,DB01026
DB00736,0,DB00499
DB00324,0,DB00270
DB08865,0,DB00254
DB13955,0,DB01171
DB00289,0,DB00622
DB01028,0,DB00264
DB00257,0,DB01227
DB00608,0,DB00501
DB01228,0,DB00472
DB00843,0,DB08893
DB00091,0,DB04871
DB00678,0,DB01149
DB01184,0,DB01403
DB00201,0,DB01242
DB00969,0,DB00281
DB01118,0,DB00724
DB01195,0,DB04871
DB00283,0,DB13956
DB04574,0,DB00270
DB11901,0,DB00283
DB01159,0,DB00678
DB00590,0,DB01403
DB00257,0,DB00822
DB09198,0,DB00461
DB00907,0,DB00988
DB01026,0,DB00451
DB00921,0,DB00169
DB00531,0,DB01167
DB00814,0,DB00622
DB00216,0,DB00745
DB01156,0,DB01195
DB00207,0,DB00356
DB00829,0,DB09198
DB00283,0,DB00924
DB01026,0,DB00379
DB01274,0,DB01171
DB00283,0,DB04946
DB00608,0,DB00455
DB00188,0,DB00283
DB00297,0,DB04855
DB01242,0,DB00598
DB00363,0,DB01149
DB13956,0,DB09198
DB01016,0,DB00270
DB04920,0,DB01075
DB00257,0,DB01018
DB00518,0,DB00270
DB01559,0,DB00343
DB01426,0,DB01403
DB00316,0,DB00678
DB00499,0,DB00379
DB00169,0,DB01177
DB00320,0,DB00379
DB00207,0,DB00586
DB00568,0,DB00544
DB00289,0,DB00757
DB00289,0,DB01355
DB00188,0,DB00254
DB00501,0,DB01259
DB01184,0,DB09198
DB00257,0,DB01020
DB01012,0,DB00983
DB01544,0,DB00472
DB00207,0,DB01002
DB01466,0,DB00619
DB00318,0,DB00343
DB00637,0,DB00195
DB01012,0,DB00332
DB00283,0,DB00822
DB00544,0,DB00678
DB00201,0,DB01403
DB00637,0,DB04871
DB00502,0,DB08893
DB00363,0,DB00751
DB01211,0,DB01110
DB05541,0,DB00091
DB00866,0,DB01075
DB01151,0,DB01181
DB01211,0,DB06292
DB00343,0,DB00317
DB00673,0,DB09119
DB00270,0,DB00370
DB00185,0,DB00477
DB00289,0,DB01211
DB01095,0,DB14011
DB00257,0,DB13956
DB00188,0,DB01075
DB00245,0,DB01171
DB00757,0,DB09167
DB09039,0,DB01228
DB00254,0,DB00959
DB00316,0,DB00458
DB00276,0,DB01151
DB00201,0,DB00917
DB00289,0,DB00947
DB00783,0,DB00176
DB00257,0,DB00741
DB00835,0,DB01242
DB01274,0,DB01012
DB00586,0,DB00619
DB01211,0,DB01242
DB09167,0,DB01107
DB00188,0,DB00180
DB13952,0,DB01241
DB01393,0,DB01211
DB00283,0,DB08893
DB01167,0,DB14011
DB00748,0,DB00176
DB01068,0,DB01026
DB00169,0,DB00371
DB01418,0,DB00320
DB01355,0,DB01026
DB00316,0,DB01151
DB00188,0,DB00593
DB00972,0,DB00745
DB01118,0,DB00736
DB00672,0,DB01097
DB01431,0,DB00091
DB00091,0,DB00324
DB00091,0,DB01240
DB00254,0,DB00690
DB00257,0,DB01206
DB01029,0,DB01026
DB00593,0,DB01167
DB00188,0,DB04871
DB00289,0,DB01018
DB00169,0,DB00266
DB00363,0,DB00933
DB00201,0,DB00655
DB00608,0,DB00988
DB00972,0,DB09039
DB00518,0,DB00379
DB00446,0,DB01181
DB06403,0,DB01241
DB05351,0,DB00472
DB00270,0,DB00528
DB00343,0,DB01159
DB00575,0,DB01149
DB00283,0,DB00829
DB00472,0,DB00371
DB00356,0,DB00363
DB00530,0,DB00619
DB01075,0,DB09053
DB00201,0,DB01184
DB00482,0,DB00924
DB00254,0,DB00949
DB00907,0,DB01628
DB00343,0,DB01248
DB00316,0,DB09198
DB00169,0,DB01018
DB00499,0,DB01167
DB00482,0,DB00514
DB09198,0,DB04871
DB00289,0,DB00773
DB01259,0,DB00281
DB00907,0,DB09555
DB00216,0,DB00805
DB00169,0,DB08868
DB00283,0,DB00602
DB00446,0,DB05246
DB01175,0,DB00951
DB06772,0,DB00678
DB00869,0,DB00199
DB00201,0,DB04946
DB00180,0,DB01149
DB12001,0,DB00188
DB01197,0,DB00482
DB05812,0,DB00482
DB00289,0,DB00590
DB00972,0,DB00254
DB00496,0,DB00472
DB05219,0,DB01142
DB00496,0,DB00589
DB00482,1,DB00749
DB00476,1,DB08815
DB00586,1,DB01097
DB00185,1,DB00805
DB00945,1,DB01166
DB01253,1,DB01275
DB01351,1,DB09128
DB09116,1,DB01407
DB00543,1,DB00950
DB01612,1,DB09235
DB00476,1,DB00934
DB00496,1,DB11181
DB01014,1,DB00324
DB00594,1,DB01159
DB00543,1,DB01215
DB00956,1,DB00332
DB00248,1,DB01026
DB00924,1,DB09224
DB00883,1,DB00264
DB01197,1,DB01283
DB00215,1,DB00952
DB01558,1,DB01151
DB00720,1,DB00749
DB00631,1,DB00753
DB06736,1,DB00482
DB00996,1,DB00458
DB01320,1,DB00737
DB01065,1,DB09224
DB01466,1,DB00933
DB00394,1,DB00688
DB00245,1,DB01466
DB01200,1,DB00255
DB00594,1,DB04920
DB00887,1,DB00695
DB00257,1,DB00320
DB00297,1,DB00647
DB00983,1,DB00370
DB05246,1,DB00295
DB00321,1,DB00998
DB00297,1,DB09232
DB00754,1,DB04841
DB00490,1,DB00575
DB00967,1,DB00333
DB06216,1,DB00907
DB08897,1,DB01466
DB00647,1,DB00700
DB00748,1,DB01068
DB00402,1,DB00934
DB01466,1,DB00949
DB00813,1,DB00849
DB00297,1,DB00434
DB01240,1,DB00753
DB00678,1,DB00353
DB04953,1,DB00281
DB00796,1,DB01159
DB00972,1,DB00963
DB00289,1,DB00589
DB00494,1,DB01227
DB01176,1,DB05246
DB00907,1,DB00292
DB00180,1,DB00788
DB04908,1,DB00623
DB00186,1,DB00737
DB01114,1,DB04953
DB04908,1,DB09048
DB00318,1,DB00281
DB09166,1,DB00933
DB00737,1,DB00371
DB00575,1,DB09166
DB00647,1,DB05246
DB01558,1,DB00683
DB01238,1,DB01161
DB01151,1,DB00035
DB00967,1,DB00996
DB00700,1,DB00622
DB00748,1,DB00402
DB01380,1,DB00677
DB06700,1,DB00933
DB00647,1,DB06716
DB00690,1,DB08918
DB01410,1,DB00843
DB00972,1,DB01024
DB00903,1,DB00264
DB00490,1,DB00934
DB06216,1,DB00849
DB00472,1,DB06716
DB01142,1,DB05039
DB00318,1,DB00371
DB01002,1,DB05246
DB00233,1,DB00588
DB00814,1,DB00461
DB06262,1,DB01171
DB01143,1,DB00700
DB09166,1,DB00327
DB06736,1,DB00179
DB06292,1,DB04861
DB01076,1,DB00542
DB00477,1,DB00813
DB00647,1,DB01075
DB01169,1,DB01018
DB00865,1,DB01577
DB00748,1,DB01176
DB00395,1,DB01355
DB09214,1,DB00688
DB01086,1,DB00748
DB00182,1,DB01577
DB01086,1,DB00434
DB00283,1,DB06716
DB01161,1,DB00295
DB00363,1,DB00563
DB00476,1,DB01355
DB01200,1,DB01029
DB06594,1,DB00647
DB00494,1,DB08815
DB01244,1,DB01200
DB06700,1,DB01171
DB00527,1,DB00593
DB01351,1,DB00502
DB00593,1,DB00875
DB00528,1,DB00353
DB11148,1,DB00472
DB06725,1,DB00784
DB01143,1,DB01020
DB00933,1,DB00422
DB11148,1,DB00950
DB00240,1,DB09212
DB00712,1,DB06725
DB00496,1,DB00647
DB01142,1,DB00176
DB01407,1,DB01242
DB00696,1,DB00959
DB00810,1,DB00956
DB00590,1,DB00903
DB00588,1,DB00772
DB00700,1,DB00264
DB00907,1,DB00849
DB00476,1,DB00950
DB00887,1,DB00264
DB00963,1,DB00608
DB06216,1,DB01227
DB01612,1,DB06292
DB00876,1,DB01009
DB06772,1,DB06789
DB00477,1,DB00968
DB00647,1,DB04946
DB04794,1,DB01253
DB00564,1,DB00555
DB01144,1,DB01240
DB00875,1,DB09224
DB00381,1,DB00363
DB00613,1,DB00358
DB01466,1,DB00295
DB06736,1,DB00861
DB06772,1,DB00262
DB00484,1,DB00472
DB00924,1,DB00176
DB00363,1,DB08815
DB01043,1,DB00959
DB00588,1,DB08815
DB01253,1,DB00959
DB00950,1,DB01065
DB01076,1,DB00455
DB00436,1,DB06292
DB00356,1,DB00353
DB01248,1,DB00530
DB00201,1,DB00983
DB00918,1,DB09128
DB01161,1,DB01242
DB00248,1,DB01023
DB06738,1,DB00281
DB01253,1,DB00745
DB00754,1,DB08815
DB00395,1,DB00628
DB00356,1,DB00494
DB01466,1,DB01171
DB01050,1,DB01009
DB00467,1,DB00764
DB00381,1,DB00695
DB01253,1,DB05381
DB00297,1,DB00883
DB00872,1,DB00695
DB11181,1,DB06738
DB01200,1,DB00796
DB06772,1,DB00762
DB00754,1,DB09224
DB00802,1,DB00633
DB01242,1,DB00703
DB00998,1,DB04946
DB09232,1,DB00903
DB00748,1,DB00318
DB00434,1,DB00281
DB01612,1,DB00808
DB00502,1,DB00688
DB00972,1,DB01380
DB00292,1,DB00996
DB00292,1,DB06716
DB01233,1,DB00764
DB00875,1,DB01320
DB06292,1,DB09235
DB01248,1,DB00179
DB00292,1,DB04946
DB04953,1,DB00458
DB00527,1,DB00647
DB00784,1,DB00814
DB00608,1,DB00588
DB00402,1,DB04841
DB00318,1,DB04953
DB01435,1,DB01076
DB00514,1,DB00333
DB01161,1,DB00283
DB06594,1,DB00802
DB00543,1,DB01219
DB01200,1,DB08907
DB00233,1,DB00180
DB00215,1,DB06282
DB00297,1,DB01068
DB05676,1,DB01009
DB00945,1,DB01050
DB01466,1,DB00281
DB01068,1,DB01219
DB01396,1,DB00695
DB00887,1,DB00968
DB09026,1,DB01002
DB00887,1,DB01396
DB00762,1,DB01097
DB00283,1,DB01320
DB01435,1,DB00328
DB00628,1,DB00934
DB00575,1,DB00494
DB01628,1,DB01097
DB00655,1,DB00814
DB05676,1,DB00655
DB00254,1,DB01253
DB01013,1,DB00674
DB00543,1,DB00295
DB01175,1,DB05246
DB01068,1,DB01355
DB00841,1,DB00988
DB00753,1,DB00703
DB00318,1,DB00593
DB00482,1,DB06725
DB00215,1,DB00370
DB00182,1,DB00647
DB06772,1,DB00987
DB00233,1,DB08906
DB00494,1,DB00472
DB04920,1,DB09235
DB00297,1,DB00703
DB00813,1,DB00875
DB04841,1,DB01227
DB06772,1,DB00441
DB01217,1,DB06772
DB01466,1,DB00332
DB01219,1,DB05246
DB00321,1,DB00327
DB00950,1,DB00371
DB00655,1,DB00328
DB00835,1,DB08918
DB00861,1,DB00869
DB00907,1,DB00683
DB00584,1,DB00328
DB01175,1,DB00813
DB06594,1,DB00402
DB01161,1,DB00215
DB00594,1,DB01144
DB01253,1,DB08882
DB06282,1,DB00186
DB00363,1,DB00445
DB13783,1,DB00959
DB00477,1,DB05246
DB01219,1,DB00333
DB01437,1,DB06282
DB00802,1,DB04908
DB00584,1,DB01002
DB00588,1,DB01400
DB09235,1,DB01159
DB05676,1,DB00584
DB01466,1,DB00690
DB00647,1,DB09235
DB00945,1,DB00608
DB12001,1,DB01211
DB00753,1,DB01587
DB00714,1,DB01159
DB00903,1,DB01023
DB00861,1,DB09285
DB00356,1,DB00327
DB01118,1,DB01275
DB00963,1,DB00502
DB01200,1,DB00455
DB00655,1,DB00358
DB00248,1,DB00528
DB00963,1,DB00788
DB01200,1,DB00528
DB00819,1,DB00295
DB01076,1,DB08820
DB01238,1,DB00933
DB00835,1,DB04953
DB01122,1,DB01013
DB00494,1,DB00950
DB01142,1,DB00753
DB04946,1,DB00455
DB00240,1,DB01050
DB01159,1,DB00934
DB00245,1,DB08893
DB01351,1,DB01176
DB00741,1,DB01009
DB01242,1,DB00494
DB00633,1,DB00683
DB00195,1,DB00703
DB01466,1,DB01065
DB01114,1,DB00934
DB00694,1,DB00353
DB00182,1,DB00333
DB01142,1,DB01028
DB00814,1,DB00688
DB00321,1,DB01233
DB06736,1,DB00180
DB00434,1,DB01219
DB00631,1,DB04861
DB01086,1,DB00623
DB01219,1,DB01018
DB01238,1,DB00934
DB01076,1,DB01628
DB00477,1,DB06282
DB08897,1,DB06738
DB00321,1,DB00949
DB00754,1,DB01221
DB00402,1,DB00333
DB00494,1,DB05246
DB01244,1,DB00631
DB01114,1,DB00292
DB00967,1,DB00472
DB00228,1,DB00472
DB01043,1,DB00764
DB00882,1,DB01253
DB00861,1,DB00703
DB01151,1,DB00320
DB00612,1,DB00883
DB06738,1,DB00555
DB00924,1,DB00555
DB01544,1,DB00588
DB01406,1,DB00696
DB01076,1,DB00358
DB00748,1,DB00623
DB00972,1,DB00461
DB06772,1,DB00631
DB00696,1,DB00951
DB01200,1,DB00199
DB01114,1,DB00813
DB00802,1,DB00753
DB00945,1,DB00240
DB01151,1,DB00333
DB00248,1,DB00773
DB04871,1,DB00934
DB00356,1,DB00588
DB00521,1,DB00903
DB06800,1,DB11691
DB01558,1,DB05246
DB00289,1,DB00353
DB00872,1,DB00876
DB00804,1,DB06738
DB00297,1,DB01028
DB01161,1,DB00575
DB00861,1,DB01097
DB01200,1,DB13139
DB13783,1,DB00394
DB01169,1,DB06772
DB00248,1,DB00215
DB00594,1,DB01169
